"Protein.Ids","ALM6","ALM7","ALM8","ALM9","ALM10","ALM11","ALM12","ALM13","ALM14","ALM15","ALM16","ALM17","ALM18","ALM19","ALM20","ALM21","ALM22","ALM23","ALM24","ALM25","ALM26","ALM27","ALM28","ALM29","ALM30","ALM31","ALM32","ALM33","ALM34","ALM35","ALM36","ALM37","ALM38","ALM39","ALM40","ALM41","ALM42","ALM43","ALM44","ALM45","ALM46","ALM47"
"P09619","6291.11","5177.24","15669","4875.17","4528.99","11540.1","3228.11","2797.02","7766.97","2725.04","4839.87","5645.39","6065.46","6406.69","15124.4","6291.31","8591.78","20272","2500.27","11334","6518.26","13685.7","7468.42","2494.75","7422.59","14639.6","10549","2925.43","7726.13","8138.24","9616.05","3786.14","2516.28","6540.99","5381.41","5708.22","7168.57","8116.53","10271.8","8729.81","4838.84","6189.11"
"P09622","22088.1","27438","18232","18309.2","26077.1","25050","18777","25920.7","24179.6","25890.4","26930.3","30490.9","28243.2","23377","28747.2","16581.1","30773.2","22812.9","18955.9","21817.1","17839.8","21554.6","27401.7","22615.6","23086.3","22361.6","22494.3","24807.4","22198.9","19326.1","22273.7","16224.2","23225","23600.1","21457.2","13308.4","16965.2","20919.9","17821.3","11212.8","21334.5","20361"
"P09651","55684.6","50116.9","54840.1","41927.9","41649.6","51305.1","33065.9","39893.2","58355.1","54119.2","31003.3","42565.5","39809.7","50083.1","62074.5","51898.9","56589.3","47796.5","33436","49771.9","38196.2","42917.4","39364","27156.1","46611","41726.2","43132.9","45363.7","50438.2","44211.8","43712.3","38539.4","35816.3","37285.9","48495.1","34562.4","38377.1","40530.7","48085.7","34193.8","56239.3","52078.2"
"P09661","5664.85","2216.85","5396.15","7135.49","5474.57","4838.94","4881.36","6511.63","4961.45","3888.27","3367.9","2094.32","3148.63","3305.45","3759.56","7406.47","3872.07","1257.29","6152.49","3887.92","6247.51","3340.84","2269.8","4050.64","4449.8","4895.04","1738.08","2351.98","1848.23","1594.28","1704.76","3929.74","5197.43","1940.67","5319.06","4948.31","1773.2","3510.99","2047.28","7072.68","4524.29","7709.09"
"P09669","16880","16285.2","14738.3","13805.8","15190.6","11692.2","13802.7","19583.8","14387.8","9715.1","12760.1","12928","9306.1","16921.3","12897","9823.71","9951.29","7481.13","23012.7","13526.4","16904.8","9760.82","22901.6","15808","21367.7","16679","9650.69","12330.9","13430","6916.31","13289.7","14276.7","18779.7","12722.9","18637","12389.4","9913.96","11196.8","13369.6","15426.8","15664.6","19272.9"
"P09874","3904.97","3902.91","4100.98","2492.89","4375.15","6690.67","3134.29","3879.65","4695.29","4142.36","4987.84","5669.12","5976.95","5914.78","6358.76","3927.13","8778.53","7614.69","3898","6589.72","2902.7","5462.87","4492.25","3169.62","4732.03","6412.21","6836.18","5542.51","6686.8","4865.05","3750.43","3177.42","2896.67","4348.9","5351.36","3836.11","4731.98","5983.01","9286.74","5777.55","5803.96","4377.33"
"P09913","725.889","1484.08","545.682",NA,"1192.2","2356.27",NA,"406.135","1130.64","1421.54","1864.65","1752.72","6243.69","787.741","1470.01","425.915","3117.33","2272.87","2766.98","932.272","553.167",NA,NA,"1172.49",NA,"4330.44","2222.41","1868.6","2902.62","647.823","601.325",NA,"591.217","1232.35","739.613","710.161","2427.25","2125.97","1804.88",NA,"1049.01","891.317"
"P09914","4195.1","4310.38","3919.88","5292.14","4889.79","9392.28","3074.26","3398.81","4168.3","4350.12","6222.55","4635.4","10072.2","4510.57","6649.04","3595.48","6072.19","6384.76","3058.17","4886.74","1523.72","4853.28","5653.52","4418.23","3347.02","8669.62","4991.22","3884.82","3869.15","3131.14","4155.8","2674.82","6060.4","4327.14","4576.8","2752.93","10380.6","6623.15","4020.16","2647.95","4461.02","4834.3"
"P09936","349502","313857","236864","263581","201839","181751","183758","234234","285678","268462","208499","169584","183667","218318","247691","187884","188487","111374","167883","200349","172783","150546","279018","281808","234548","140846","97199.9","186954","164160","72613.4","155342","195502","180857","167115","213305","206415","211985","249434","121576","143365","134316","279806"
"P09960","16554.8","18342.4","13442.8","14774.9","12664.7","10746.1","10306.3","11850","13216.5","13202.1","13171","14299.1","10761.5","12227.5","12464.7","12555.3","14940.4","15496.3","11511.5","12105.8","13310.5","13542","14962.9","13590.6","12692.3","13232","13094.5","13487.7","11526.3","14835.4","15917.4","10772","10244.3","14294.3","12741.8","12278.5","15445.2","15464.9","10990.8","16550.9","14344.8","11126.9"
