;bCT3_1db40_1;bCT3_1db40_2;bCT3_1dT40_1;bCT3_1dT40_2;bCT3_2db40_1;bCT3_2dT40_1;bCT4_dCA2_1;bCT4_dCA2_2;bCT4_dTR2_1;bCT4_dTR2_2
ENSG00000274258.1;0;0;0;0;1;0;0;0;0;0
ENSG00000230679.1;1;0;0;1;1;0;3;1;2;1
ENSG00000201725.1;0;0;0;0;0;0;0;0;0;0
ENSG00000238249.2;1;0;0;0;0;0;0;0;1;0
ENSG00000232208.2;0;0;0;0;0;0;0;0;0;0
ENSG00000232663.2;0;0;0;0;0;0;0;0;0;0
ENSG00000131686.15;0;0;0;0;0;0;0;0;0;0
ENSG00000290109.1;0;0;0;0;0;0;0;0;0;0
ENSG00000265141.2;0;0;0;0;0;0;0;0;0;0
ENSG00000197241.4;0;4;0;0;1;0;0;0;0;1
ENSG00000142583.18;74;147;83;93;139;105;476;419;459;428
ENSG00000252404.1;0;0;0;0;0;0;0;0;0;0
ENSG00000180758.12;190;415;308;324;344;290;384;490;438;331
ENSG00000228526.8;252;491;199;268;426;200;353;328;231;218
ENSG00000284357.1;0;0;0;0;0;0;0;0;0;0
ENSG00000289914.1;2;4;2;4;3;1;2;3;0;0
ENSG00000234546.5;43;92;42;44;80;43;100;108;84;70
ENSG00000049239.13;4567;8986;5238;6417;6850;4937;4949;6644;5164;4961
ENSG00000171621.14;540;948;691;805;819;893;961;951;655;631
ENSG00000284652.1;0;13;4;3;9;8;7;3;7;3
ENSG00000284693.2;48;92;68;84;67;52;72;83;96;60
ENSG00000252956.1;0;0;0;0;0;0;0;0;0;0
ENSG00000235263.1;0;0;0;0;0;0;0;0;0;0
ENSG00000171612.7;352;693;472;520;556;540;659;603;569;494
ENSG00000231181.1;2;2;1;2;0;0;4;2;0;5
ENSG00000188807.13;448;986;651;652;749;645;849;957;664;583
ENSG00000171608.18;627;1213;974;1160;1018;951;1291;1497;1498;1271
ENSG00000179840.5;0;0;0;0;0;0;0;0;0;0
ENSG00000233268.3;0;0;0;0;0;0;0;0;0;0
ENSG00000231789.4;24;53;18;24;41;20;82;59;33;41
ENSG00000171603.18;7629;15728;11112;12952;13036;11965;12584;13969;13586;12232
ENSG00000271264.1;1;0;0;0;0;2;0;0;0;0
ENSG00000280113.2;0;1;0;0;0;0;0;0;1;0
ENSG00000178585.15;403;811;630;680;643;675;636;639;514;425
ENSG00000223989.1;0;0;0;0;0;0;0;0;0;0
ENSG00000285701.1;0;0;0;0;0;0;3;0;0;0
ENSG00000162441.12;747;1424;959;1126;1216;987;1206;1278;1180;980
ENSG00000228150.1;1;8;1;6;6;3;4;6;5;7
ENSG00000173614.14;455;796;516;614;632;547;637;712;647;637
ENSG00000202415.1;0;3;2;4;3;2;3;5;0;7
ENSG00000283611.2;1;3;0;0;0;0;0;1;1;0
ENSG00000265521.1;2;0;1;4;2;0;0;0;1;0
ENSG00000241326.1;0;0;0;0;0;0;0;0;0;0
ENSG00000162444.12;0;2;1;2;1;6;5;2;6;4
ENSG00000130939.20;1871;3460;2479;2779;3008;2497;2540;3352;3051;2819
ENSG00000224340.1;0;0;0;1;0;1;2;0;0;0
ENSG00000233623.2;0;0;0;0;4;0;0;0;1;0
ENSG00000201746.1;0;2;1;0;0;0;4;0;0;0
ENSG00000054523.20;1795;3204;2113;2710;2725;1891;2050;3662;2695;2659
ENSG00000264881.1;0;0;0;0;0;0;0;0;0;0
ENSG00000199562.1;0;0;0;1;1;0;0;0;0;0
ENSG00000264501.2;0;0;0;0;0;0;0;0;0;0
ENSG00000284735.1;0;4;4;3;5;1;6;2;2;0
ENSG00000284642.1;7;2;7;3;10;7;6;3;2;1
ENSG00000142657.21;3098;6115;4998;6023;5384;6323;5770;5293;5796;5062
ENSG00000271989.1;1;0;1;0;0;0;1;0;2;0
ENSG00000251503.8;2;2;2;1;1;1;1;4;1;0
ENSG00000175279.22;38;59;69;55;80;58;56;66;42;44
ENSG00000241563.4;6;4;2;4;4;3;1;5;1;1
ENSG00000160049.12;1403;2688;2008;2199;2262;2009;2300;2384;2213;1889
ENSG00000203469.2;0;0;0;0;0;0;0;0;0;0
ENSG00000142655.13;548;1125;756;857;896;958;1053;862;813;627
ENSG00000287727.1;2;5;3;5;7;1;1;3;2;3
ENSG00000243267.3;0;0;0;0;2;0;0;4;0;0
ENSG00000130940.15;11;27;15;14;35;16;33;42;30;48
ENSG00000272078.1;4;9;2;6;6;3;10;4;3;4
ENSG00000225158.2;0;0;0;0;0;0;0;0;0;0
ENSG00000175262.15;0;2;0;0;0;0;5;1;5;0
ENSG00000215785.2;0;2;0;0;0;1;0;1;4;0
ENSG00000120948.19;2203;3904;2556;3425;3315;2752;3264;3623;3151;2636
ENSG00000009724.18;26;69;28;42;28;32;28;25;31;20
ENSG00000116649.10;3853;7944;6920;7681;6590;9087;8198;6374;6753;5195
ENSG00000171824.14;1134;2166;1324;1481;1722;1595;1748;1918;1655;1330
ENSG00000226849.1;2;5;0;4;1;4;0;0;2;0
ENSG00000230337.3;13;23;30;27;26;26;41;41;25;16
ENSG00000198793.14;1974;3755;2115;2513;3197;1930;2118;3257;2711;2369
ENSG00000225602.5;0;1;2;0;0;0;0;0;0;0
ENSG00000253086.1;0;0;0;0;0;0;3;0;0;0
ENSG00000171819.5;5;3;1;0;6;1;8;5;2;2
ENSG00000207451.1;0;0;0;0;0;0;0;0;0;0
ENSG00000238173.1;0;0;0;0;0;0;0;0;0;0
ENSG00000120942.14;339;631;449;550;548;576;610;666;590;502
ENSG00000238199.1;1;2;2;0;1;0;0;0;0;0
ENSG00000284646.1;1;0;0;0;0;0;0;0;0;0
ENSG00000224338.2;0;0;0;0;0;0;0;0;0;0
ENSG00000204624.8;0;2;1;0;1;1;3;3;1;0
ENSG00000285833.1;0;0;0;0;0;0;0;0;0;0
ENSG00000235643.2;0;0;0;0;0;0;0;0;0;0
ENSG00000284708.1;0;0;0;0;0;0;0;0;0;0
ENSG00000116661.11;41;66;18;10;52;20;92;56;32;12
ENSG00000132879.14;179;372;195;203;285;211;475;369;256;210
ENSG00000116670.16;369;779;502;551;623;601;865;607;425;379
ENSG00000116663.11;80;119;39;45;86;43;225;158;69;58
ENSG00000162490.7;3;6;2;0;3;2;5;7;1;1
ENSG00000177674.16;1281;2582;1633;1916;1837;2122;3336;2533;2511;1902
ENSG00000215910.8;0;2;0;0;0;0;0;0;0;0
ENSG00000177553.6;0;0;0;0;0;0;0;0;0;0
ENSG00000177000.13;650;1200;724;754;965;600;614;793;689;617
ENSG00000011021.23;699;1277;617;852;1135;682;822;1031;909;780
ENSG00000276470.1;0;0;0;0;0;0;0;0;0;0
ENSG00000278852.1;0;0;0;0;0;0;0;0;0;0
